Book: 0062700782 sorted results:
[price: 1.18, shipFee: 3.99, condition: Used - Very Good, positive: 96, rating: 682]
[price: 1.24, shipFee: 3.99, condition: Used - Good, positive: 96, rating: 46994]
[price: 5.29, shipFee: 0.0, condition: Used - Acceptable, positive: 98, rating: 115750]
[price: 5.29, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 9269]
[price: 5.29, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 9270]
[price: 5.29, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 9270]
[price: 5.29, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 102200]
[price: 1.55, shipFee: 3.99, condition: Used - Acceptable, positive: 96, rating: 23596]
[price: 5.9, shipFee: 0.0, condition: Used - Acceptable, positive: 95, rating: 41672]
[price: 1.91, shipFee: 3.99, condition: Used - Acceptable, positive: 99, rating: 136014]
[price: 5.99, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 149615]
[price: 6.26, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 260270]
[price: 6.26, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 333150]
[price: 6.26, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 216093]
[price: 6.26, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 327483]
[price: 6.26, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 346520]
[price: 6.26, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 545950]
[price: 6.26, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 953951]
[price: 6.26, shipFee: 0.0, condition: Used - Good, positive: 97, rating: 501090]
[price: 2.49, shipFee: 3.99, condition: Used - Good, positive: 96, rating: 10856]
[price: 2.59, shipFee: 3.99, condition: Used - Acceptable, positive: 97, rating: 80243]
[price: 2.59, shipFee: 3.99, condition: Used - Acceptable, positive: 97, rating: 80243]
[price: 2.59, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 80243]
[price: 2.74, shipFee: 3.96, condition: Used - Good, positive: 97, rating: 149317]
[price: 6.9, shipFee: 0.0, condition: Used - Good, positive: 98, rating: 55937]
[price: 1.5, shipFee: 5.49, condition: Used - Good, positive: 95, rating: 64936]
[price: 3.0, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 14535]
